"DOClass"	"Disease"	"DiseaseClass"	"EvidenceIndexGDA"	"EvidenceLevelGDA"	"FirstRef"	"Gene"	"GeneDPI"	"GeneDSI"	"GeneFullName"	"GenePLI"	"HPOClass"	"LastRef"	"NumDiseasesAssociatedToGene"	"NumGenesDisease"	"NumPMIDs"	"NumVariantsAssociatedToGene"	"NumVariantsDisease"	"NumVariantsGDA"	"PathwayIDs"	"PathwayNames"	"ProteinClass"	"ScoreGDA"	"SemanticType"	"Type"	"UnitProt"	"diseaseUMLSCUI"	"geneEnsemblIDs"	"geneNcbiID"	"geneNcbiType"	"numCTs"	"numChemsIncludedInEvidences"	"numPMIDSWithChemsIncludedInEvidences"
"disease of anatomical entity (7),genetic disease (630)"	"Alzheimer's Disease"	"Nervous System Diseases,Mental Disorders"	"0.9509960159362549"	""	"1991"	"APP"	"0.92"	"0.4"	"amyloid beta precursor protein"	"0.99999"	"Abnormality of the nervous system (00707)"	"2018"	"38"	"100"	"36"	""	""	""	""	""	"Enzyme modulator"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"B4DGD0,P05067,A0A0A0MRG2,B4DJT9,E9PG40,A0A140VJC8"	"C0002395"	"ENSG00000142192"	"351"	"protein-coding"	"37"	"322"	"615"
"disease of anatomical entity (7),genetic disease (630)"	"Alzheimer's Disease"	"Nervous System Diseases,Mental Disorders"	"0.9348689436060366"	""	"1995"	"PSEN1"	"0.92"	"0.44"	"presenilin 1"	"0.99951"	"Abnormality of the nervous system (00707)"	"2019"	"22"	"100"	"15"	""	""	""	""	""	"Enzyme"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"A0A0S2Z4D2,P49768,A0A024R6A3"	"C0002395"	"ENSG00000080815"	"5663"	"protein-coding"	"3"	"166"	"189"
"disease of anatomical entity (7),genetic disease (630)"	"Alzheimer's Disease"	"Nervous System Diseases,Mental Disorders"	"0.8828560063643596"	""	"1993"	"APOE"	"0.92"	"0.33"	"apolipoprotein E"	"2.5529E-4"	"Abnormality of the nervous system (00707)"	"2018"	"52"	"100"	"9"	""	""	""	""	""	""	"1.0"	"Disease or Syndrome (T047)"	"disease"	"A0A0S2Z3D5,P02649"	"C0002395"	"ENSG00000130203"	"348"	"protein-coding"	"85"	"212"	"441"
"disease of anatomical entity (7),genetic disease (630)"	"Alzheimer's Disease"	"Nervous System Diseases,Mental Disorders"	"0.942062240068837"	""	"2003"	"MAPT"	"0.96"	"0.35"	"microtubule associated protein tau"	"2.127E-5"	"Abnormality of the nervous system (00707)"	"2016"	"31"	"100"	"7"	""	""	""	""	""	""	"1.0"	"Disease or Syndrome (T047)"	"disease"	"B3KTM0,P10636"	"C0002395"	"ENSG00000186868"	"4137"	"protein-coding"	"265"	"421"	"772"
"disease of anatomical entity (7),genetic disease (630)"	"Alzheimer's Disease"	"Nervous System Diseases,Mental Disorders"	"0.8877005347593583"	""	"1999"	"ACE"	"0.92"	"0.31"	"angiotensin I converting enzyme"	"5.7955E-32"	"Abnormality of the nervous system (00707)"	"2019"	"56"	"100"	"5"	""	""	""	"R-HSA-392499"	"Metabolism of proteins"	"Enzyme"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"P12821,B4DKH4"	"C0002395"	"ENSG00000159640"	"1636"	"protein-coding"	"4"	"28"	"35"
"disease of anatomical entity (7),genetic disease (630)"	"Alzheimer's Disease"	"Nervous System Diseases,Mental Disorders"	"0.8943089430894309"	""	"2016"	"TOMM40"	"0.83"	"0.5"	"translocase of outer mitochondrial membrane 40"	"0.99571"	"Abnormality of the nervous system (00707)"	"2018"	"4"	"100"	"4"	""	""	""	"R-HSA-9609507,R-HSA-9612973"	"Protein localization,Autophagy"	"Transporter"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"O96008"	"C0002395"	"ENSG00000130204"	"10452"	"protein-coding"	"4"	"3"	"4"
"disease of anatomical entity (7),genetic disease (630)"	"Alzheimer's Disease"	"Nervous System Diseases,Mental Disorders"	"0.9736842105263158"	""	"2018"	"NECTIN2"	"0.79"	"0.53"	"nectin cell adhesion molecule 2"	"0.014296"	"Abnormality of the nervous system (00707)"	"2018"	"18"	"100"	"3"	""	""	""	""	""	""	"1.0"	"Disease or Syndrome (T047)"	"disease"	"Q92692"	"C0002395"	"ENSG00000130202"	"5819"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),genetic disease (630)"	"Alzheimer's Disease"	"Nervous System Diseases,Mental Disorders"	"0.8761061946902655"	""	"2005"	"PPARG"	"0.92"	"0.34"	"peroxisome proliferator activated receptor gamma"	"0.21172"	"Abnormality of the nervous system (00707)"	"2018"	"59"	"100"	"3"	""	""	""	"R-HSA-1266738,R-HSA-74160"	"Developmental Biology,Gene expression (Transcription)"	"Nuclear receptor"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"P37231,E9PFX5,A0A494C1F9,D2KUA6,E9PFV2"	"C0002395"	"ENSG00000132170"	"5468"	"protein-coding"	"1"	"25"	"40"
"disease of anatomical entity (7),genetic disease (630)"	"Alzheimer's Disease"	"Nervous System Diseases,Mental Disorders"	"0.9187279151943463"	""	"2009"	"CLU"	"0.88"	"0.4"	"clusterin"	"5.6844E-4"	"Abnormality of the nervous system (00707)"	"2011"	"19"	"100"	"3"	""	""	""	"R-HSA-109582,R-HSA-168256"	"Hemostasis,Immune System"	""	"1.0"	"Disease or Syndrome (T047)"	"disease"	"P10909"	"C0002395"	"ENSG00000120885"	"1191"	"protein-coding"	"3"	"16"	"13"
"disease of anatomical entity (7),genetic disease (630)"	"Alzheimer's Disease"	"Nervous System Diseases,Mental Disorders"	"0.9177215189873418"	""	"1997"	"PSEN2"	"0.88"	"0.48"	"presenilin 2"	"3.9026E-7"	"Abnormality of the nervous system (00707)"	"2006"	"5"	"100"	"3"	""	""	""	"R-HSA-1266738,R-HSA-162582,R-HSA-1643685"	"Developmental Biology,Signal Transduction,Disease"	"Enzyme"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"P49810"	"C0002395"	"ENSG00000143801"	"5664"	"protein-coding"	"3"	"8"	"9"
